ID,lat,long
1,90,0
2,87.5,0
3,85,0
4,82.5,0
5,80,0
6,77.5,0
7,75,0
8,72.5,0
9,70,0
10,67.5,0
11,65,0
12,62.5,0
13,60,0
14,57.5,0
15,55,0
16,52.5,0
17,50,0
18,47.5,0
19,45,0
20,42.5,0
21,40,0
22,37.5,0
23,35,0
24,32.5,0
25,30,0
26,27.5,0
27,25,0
28,22.5,0
29,20,0
30,17.5,0
31,15,0
32,12.5,0
33,10,0
34,7.5,0
35,5,0
36,2.5,0
37,0,0
38,90,2.5
39,87.5,2.5
40,85,2.5
41,82.5,2.5
42,80,2.5
43,77.5,2.5
44,75,2.5
45,72.5,2.5
46,70,2.5
47,67.5,2.5
48,65,2.5
49,62.5,2.5
50,60,2.5
51,57.5,2.5
52,55,2.5
53,52.5,2.5
54,50,2.5
55,47.5,2.5
56,45,2.5
57,42.5,2.5
58,40,2.5
59,37.5,2.5
60,35,2.5
61,32.5,2.5
62,30,2.5
63,27.5,2.5
64,25,2.5
65,22.5,2.5
66,20,2.5
67,17.5,2.5
68,15,2.5
69,12.5,2.5
70,10,2.5
71,7.5,2.5
72,5,2.5
73,2.5,2.5
74,0,2.5
75,90,5
76,87.5,5
77,85,5
78,82.5,5
79,80,5
80,77.5,5
81,75,5
82,72.5,5
83,70,5
84,67.5,5
85,65,5
86,62.5,5
87,60,5
88,57.5,5
89,55,5
90,52.5,5
91,50,5
92,47.5,5
93,45,5
94,42.5,5
95,40,5
96,37.5,5
97,35,5
98,32.5,5
99,30,5
100,27.5,5
101,25,5
102,22.5,5
103,20,5
104,17.5,5
105,15,5
106,12.5,5
107,10,5
108,7.5,5
109,5,5
110,2.5,5
111,0,5
112,90,7.5
113,87.5,7.5
114,85,7.5
115,82.5,7.5
116,80,7.5
117,77.5,7.5
118,75,7.5
119,72.5,7.5
120,70,7.5
121,67.5,7.5
122,65,7.5
123,62.5,7.5
124,60,7.5
125,57.5,7.5
126,55,7.5
127,52.5,7.5
128,50,7.5
129,47.5,7.5
130,45,7.5
131,42.5,7.5
132,40,7.5
133,37.5,7.5
134,35,7.5
135,32.5,7.5
136,30,7.5
137,27.5,7.5
138,25,7.5
139,22.5,7.5
140,20,7.5
141,17.5,7.5
142,15,7.5
143,12.5,7.5
144,10,7.5
145,7.5,7.5
146,5,7.5
147,2.5,7.5
148,0,7.5
149,90,10
150,87.5,10
151,85,10
152,82.5,10
153,80,10
154,77.5,10
155,75,10
156,72.5,10
157,70,10
158,67.5,10
159,65,10
160,62.5,10
161,60,10
162,57.5,10
163,55,10
164,52.5,10
165,50,10
166,47.5,10
167,45,10
168,42.5,10
169,40,10
170,37.5,10
171,35,10
172,32.5,10
173,30,10
174,27.5,10
175,25,10
176,22.5,10
177,20,10
